Software, Price, Link
Windows 10 Pro 64-bit - OEM,$145.99 ,https://www.newegg.com/microsoft-windows-10-pro-64-bit/p/N82E16832588491?Item=N82E16832588491
AVG Ultimate [Security/ Privacy and Performance] 2020/ 5 Devices 1 Year [Key Card],$34.99 ,https://www.newegg.com/avg-ultimate-2020-5-devices-1-year/p/N82E16832620252?Item=N82E16832620252
Acronis True Image 2019 - 3 Computer,$39.99 ,https://www.newegg.com/acronis-true-image-2019-3-computer/p/N82E16832200150?Item=N82E16832200150
Windows 10 Home - 64-bit - OEM,$104.99 ,https://www.newegg.com/microsoft-windows-10-home-64-bit/p/N82E16832416892?Item=N82E16832416892
Windows Server 2016 Standard - 16 Core (P73-07113) - OEM,$699.99 ,https://www.newegg.com/microsoft-windows-server-standard-2016-16-core-oem/p/1B4-003A-00062?Item=1B4-003A-00062
Avast Ultimate Suite [Security/ Cleanup and VPN] 2020/ 5 Devices 1 Year [Key Card],$69.99 ,https://www.newegg.com/avast-ultimate-2020-5-devices-1-year/p/N82E16832870076?Item=N82E16832870076
Malwarebytes Anti-Malware 3.0 - 3 PCs / 1 Year (Key Card),$39.99 ,https://www.newegg.com/malwarebytes-anti-malware-3-0-3-pcs-1-year/p/N82E16832562182?Item=N82E16832562182
Windows 10 Pro 64-Bit Installation / Recovery Disc Only - No License Key Included,$9.99 ,https://www.newegg.com/microsoft-windows-10-pro-64-bit-reinstall-recovery-disc-only-no-license-key-included/p/N82E16832350238?Item=N82E16832350238
Norton 360 Deluxe [Online Protection/ VPN/ 50GB Cloud Backup & Dark Web Monitor] 5 Devices - 1 Year - Key Card,$39.99 ,https://www.newegg.com/symantec-norton-360-deluxe-5-device/p/N82E16832377990?Item=N82E16832377990
AVG Internet Security 2020/ 5 Devices 1 Year [Key Card],$49.99 ,https://www.newegg.com/avg-internet-security-5-multi-devices-1-year/p/N82E16832620249?Item=N82E16832620249
Microsoft Office Home and Student 2019 | 1 device/ Windows 10 PC/Mac Key Card,$149.99 ,https://www.newegg.com/microsoft-office-home-and-student-2019-1-pc-mac/p/N82E16832011397?Item=N82E16832011397
Adobe Acrobat Standard 2017 for Windows,$299.00 ,https://www.newegg.com/adobe-acrobat-2017-for-windows/p/N82E16832505479?Item=N82E16832505479
Windows Server Standard 2019 - Base License (16-Core) - OEM,$779.99 ,https://www.newegg.com/microsoft-windows-server-standard-2019-64-bit-16-core/p/N82E16832011549?Item=N82E16832011549
Windows 10 Home 64-Bit Installation / Recovery Disc Only - No License Key Included,$9.99 ,https://www.newegg.com/microsoft-windows-10-home-64-bit-installation-recovery-disc-only-no-license-key-included/p/N82E16832350237?Item=N82E16832350237
Windows Server 2019 Essential 64-bit - 1 Server/ 2 CPU - OEM,$369.99 ,https://www.newegg.com/microsoft-windows-server-essential-2019-64-bit/p/N82E16832011548?Item=N82E16832011548
Intuit QuickBooks Desktop Pro 2019,$279.99 ,https://www.newegg.com/intuit-quickbooks-desktop-pro-2019/p/N82E16832109906?Item=N82E16832109906
LibreOffice,Free,https://www.libreoffice.org/download/download/
Revo Uninstaller Pro,$39.25 ,http://www.revouninstaller.com/revo_uninstaller_free_download.html
Microsoft Office 365,$99.99/year,https://www.microsoftstore.com/store/msusa/en_US/cat/Office-365/categoryID.68021500
FL Studio Groove,$11.99 ,https://www.microsoft.com/en-gb/store/p/fl-studio-groove/9wzdncrdqg4b
Adobe Creative Cloud,$79.99/Month,http://clk.tradedoubler.com/click?p(264355)a(2945360)g(22804962)url(https://creative.adobe.com/promo/makeuseofCCI)
DisplayFusion,$25 ,https://www.displayfusion.com/
WolframAlpha,$2.99 ,https://www.microsoft.com/en-us/store/p/wolframalpha/9wzdncrdmzkp
Total Commander,$42 ,https://www.ghisler.com/index.htm
Enpass,$9.99 ,https://www.microsoft.com/en-us/store/p/enpass/9wzdncrdfqjs
Dropbox,$99.99/Year,https://www.dropbox.com
HEVC Video Extensions,$0.99 ,https://www.microsoft.com/en-us/p/hevc-video-extensions/9nmzlz57r3t7?cid=msft_web_chart
HD Movie Maker - PRO,$9.99 ,https://www.microsoft.com/en-us/p/hd-movie-maker-pro/9n9kbwp6hvqq?cid=msft_web_chart
Windows DVD Player,$14.99 ,https://www.microsoft.com/en-us/p/windows-dvd-player/9nblggh2j19w?cid=msft_web_chart
Drawboard PDF,$11.99 ,https://www.microsoft.com/en-us/p/drawboard-pdf/9wzdncrfhwqt?cid=msft_web_chart
Penbook,$9.99 ,https://www.microsoft.com/en-us/p/penbook/9pl4gx47gt7k?cid=msft_web_chart
HEIC Image Converter Tool,$1.99 ,https://www.microsoft.com/en-us/p/heic-image-converter-tool/9p5mg60344hv?cid=msft_web_chart
Reader for Kindle,$3.99 ,https://www.microsoft.com/en-us/p/reader-for-kindle/9plqtb3wmn1t?cid=msft_web_chart
Reader for Kindle Books,$3.99 ,https://www.microsoft.com/en-us/p/reader-for-kindle-books/9mxqdz2dtshv?cid=msft_web_chart
paint.net,$6.99 ,https://www.microsoft.com/en-us/p/paintnet/9nbhcs1lx4r0?cid=msft_web_chart
Adobe Photoshop Elements 2019,$99.99 ,https://www.microsoft.com/en-us/p/adobe-photoshop-elements-2019/9nv7pvn0zxv6?cid=msft_web_chart
Audacity 2,$0.99 ,https://www.microsoft.com/en-us/p/audacity-2/9pn9v7pnm9hv?cid=msft_web_chart
Play for Amazon Prime Video.,$14.99 ,https://www.microsoft.com/en-us/p/play-for-amazon-prime-video/9np4zmgjlhpg?cid=msft_web_chart
Krita,$9.79 ,https://www.microsoft.com/en-us/p/krita/9n6x57zgrw96?cid=msft_web_chart
FL Studio Mobile,$14.99 ,https://www.microsoft.com/en-us/p/fl-studio-mobile/9nblggh1zjcr?cid=msft_web_chart
Photos for Google Photos.,$2.99 ,https://www.microsoft.com/en-us/p/photos-for-google-photos/9mzlw30kkq29?cid=msft_web_chart
Nebulas in 4K,$0.99 ,https://www.microsoft.com/en-us/p/nebulas-in-4k/9n4f3s6nlv5v?cid=msft_web_chart
Player for DVD's,$5.99 ,https://www.microsoft.com/en-us/p/player-for-dvds/9n3p6t331ggr?cid=msft_web_chart
Docs for Google Docs.,$3.99 ,https://www.microsoft.com/en-us/p/docs-for-google-docs/9pcfgc5spgh2?cid=msft_web_chart
Cast to ChromeCast,$2.99 ,https://www.microsoft.com/en-us/p/cast-to-chromecast/9pljhqxpj0n9?cid=msft_web_chart
Office Suite - Powerful editor for Adobe pdf and Microsoft doc docx xls xlsx ppt pptx,$29.99 ,https://www.microsoft.com/en-us/p/office-suite-powerful-editor-for-adobe-pdf-and-microsoft-doc-docx-xls-xlsx-ppt-pptx/9ncpl32wrh6z?cid=msft_web_chart
djay Pro,$49.99 ,https://www.microsoft.com/en-us/p/djay-pro/9nblggh4vm4h?cid=msft_web_chart
Diarium — Private Diary / Daily Journal,$5.99 ,https://www.microsoft.com/en-us/p/diarium-private-diary-daily-journal/9nblggh4vzz1?cid=msft_web_chart
Stream for Amazon Prime Video,$9.99 ,https://www.microsoft.com/en-us/p/stream-for-amazon-prime-video/9nxs6nv15c3d?cid=msft_web_chart
iHangout for Google Hangouts,$4.99 ,https://www.microsoft.com/en-us/p/ihangout-for-google-hangouts/9pm2gbdcvs7k?cid=msft_web_chart
Discord Tiles,$0.99 ,https://www.microsoft.com/en-us/p/discord-tiles/9n15k77phmnl?cid=msft_web_chart
Human Anatomy Atlas 2019: Complete 3D Human Body,$24.99 ,https://www.microsoft.com/en-us/p/human-anatomy-atlas-2019-complete-3d-human-body/9ncgktbt3s2q?cid=msft_web_chart
Media Importer,$1.49 ,https://www.microsoft.com/en-us/p/media-importer/9nblggh4stc3?cid=msft_web_chart
